"","D01_1","D01_2","D01_3","D02_1","D02_2","D02_3","D04_1","D04_2","D04_3","D08_1","D08_2","D08_3","D10_1","D10_2","D10_3","D12_1","D12_2","D12_3","D20_1","D20_2","D20_3","D30_1","D30_2","D30_3"
A1BG,44,42,55,41,53,48,81,81,52,72,50,46,150,79,100,167,164,154,291,229,218,205,186,209
A1BG-AS1,11,3,4,7,2,1,9,9,1,3,5,3,8,9,8,4,2,1,1,11,10,5,3,4
A1CF,2,0,0,0,1,0,3,3,5,102,33,105,284,69,285,166,87,326,104,103,324,50,34,209
A2M,5,3,4,2,4,7,5,5,10,286,23,127,861,101,535,998,279,1143,1101,913,1986,1748,743,1766
A2M-AS1,8,5,8,10,6,5,6,6,3,18,12,14,23,21,20,14,16,5,22,12,11,50,11,17
A2ML1,70,48,63,6,3,27,21,21,45,1,0,4,1,1,1,3,1,1,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
A4GALT,94,62,93,172,122,141,55,55,86,104,52,115,132,33,79,81,62,98,79,78,101,107,63,100
A4GNT,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,926,595,802,806,697,665,410,410,449,564,458,501,628,440,497,501,408,549,509,403,499,428,316,362
AACS,453,323,449,470,629,756,318,318,402,334,319,378,388,320,343,345,330,324,314,299,302,300,315,245
AACSP1,26,24,21,11,5,6,2,2,5,10,0,13,7,6,12,1,3,3,4,3,6,8,3,5
AADAC,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,5,23,6,13,45
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,3,3,3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,1,1,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
AADAT,130,98,124,279,497,263,163,163,284,154,133,247,218,83,129,108,67,81,56,34,69,66,22,29
AAED1,86,40,75,50,70,64,69,69,66,74,72,86,140,83,77,148,159,116,148,121,145,135,94,97
AAGAB,706,482,610,813,797,625,361,361,387,416,492,538,441,405,377,358,416,336,356,256,332,417,232,303
AAK1,264,170,224,252,220,222,174,174,241,196,183,235,231,228,192,292,284,258,313,317,292,324,315,316
AAMDC,37,20,28,18,26,18,33,33,27,69,40,40,71,42,60,77,76,53,119,112,66,70,91,98
AAMP,1461,989,1341,1072,1242,1133,679,679,925,918,836,1031,1159,841,838,939,746,948,1110,765,930,823,649,811
AANAT,3,0,2,6,1,1,1,1,5,3,1,0,2,0,1,0,0,3,5,2,7,7,2,2
AAR2,624,397,548,522,469,424,241,241,310,335,351,364,353,386,359,287,379,296,340,334,316,271,287,366
AARD,27,15,14,54,120,18,8,8,7,20,26,5,30,40,42,10,37,23,16,74,15,10,89,93
AARS,3461,2123,3164,2339,2937,3612,1870,1870,3681,1064,956,1092,1427,1072,1173,1430,1307,1446,1685,1385,1713,1718,1134,1567
AARS2,469,329,401,425,301,336,235,235,255,417,303,451,386,341,311,202,240,258,176,221,175,231,197,185
AARSD1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,175,140,200,148,188,187,179,179,243,264,161,307,263,182,224,227,142,171,122,96,117,133,66,98
AASDHPPT,801,453,602,604,686,668,503,503,415,709,647,683,848,791,546,621,813,674,516,590,545,431,536,578
AASS,1756,1373,1549,735,1025,1045,572,572,822,659,295,718,451,249,402,374,134,257,139,142,175,158,158,167
AATBC,2,6,4,9,1,1,3,3,3,3,4,1,5,4,5,4,5,4,2,0,3,1,0,0
AATF,0,0,1,0,0,0,1,1,0,0,0,0,4,0,0,1,0,0,1,2,1,1,0,0
AATK,54,46,70,19,34,61,29,29,54,90,31,69,141,59,73,90,94,120,174,117,131,173,109,133
ABALON,7,2,6,9,10,10,7,7,14,3,4,2,7,7,4,3,8,9,3,6,3,4,1,7
ABAT,101,92,128,51,124,194,69,69,267,291,61,139,377,89,131,368,113,168,416,239,332,795,332,515
ABCA1,205,186,272,49,80,70,342,342,626,804,711,1174,951,631,856,604,477,810,243,519,464,243,600,497
ABCA10,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,2,0,1
ABCA11P,72,41,40,62,38,21,12,12,18,35,21,47,24,40,24,29,18,18,16,21,19,14,11,24
ABCA12,3,2,2,1,1,0,1,1,0,1,2,3,2,2,3,4,5,3,3,2,3,4,5,8
ABCA13,2,1,1,5,7,1,0,0,2,4,2,1,4,4,1,14,2,2,9,6,4,23,6,11
