	V2	V3	V4	V5	V6	V7	V8	V9	V10
Adipocytes	0.6717	0.5728	0.5741	0	0	0	0.0214	0.0209	0.0143
Astrocytes	0	0	0	0	0	0	0	0	0
B-cells	0	0	0	0	0.0017	1e-04	0.0044	0.0027	0.0031
Basophils	0	0	0	0	0	0	0.0114	0.0128	0.0108
CD4+ T-cells	0	0	0	0	0.001	2e-04	0	0	0
CD4+ Tcm	0	0	0	0	0	0	0	0	0
CD4+ Tem	0	0	0	0	0	0	0	0	0
CD4+ memory T-cells	0	0	0	0.0061	0.0066	0.004	0.0015	0.0011	7e-04
CD4+ naive T-cells	0	0	0	0	0	0	0	0	0
CD8+ T-cells	0	0	0	0	0	0	0	0	0
CD8+ Tcm	0.0061	0.0026	0.0028	0	1e-04	6e-04	0	0	0
CD8+ Tem	0	0	0	0	0	0	0	0	0
CD8+ naive T-cells	0	0	0	0.0018	0.0015	6e-04	0	0	0
CLP	2e-04	0	0	0	0	0	0	0	0
CMP	0	0	0	0	0	0	0	0	0
Chondrocytes	0.0497	0.0911	0.098	0	0	0	0	0	0
Class-switched memory B-cells	0	0	0	0	5e-04	8e-04	0	0	0
DC	0	0	0	0	0	0	0	0	0
Endothelial cells	0	0	0	0	0	0	0	0	0
Eosinophils	0	0	0	0	0	0	0	4e-04	0
Epithelial cells	0	0	0	0.0019	9e-04	0.0036	0	0	2e-04
Erythrocytes	0	0	0	2e-04	0	1e-04	2e-04	1e-04	0
Fibroblasts	0.2179	0.3107	0.2925	0	0	0	0.0737	0.0753	0.0327
GMP	8e-04	0	4e-04	0.0187	0.0187	0.0167	0.007	0.0063	0.0059
HSC	0.1673	0.2058	0.2101	0	0	0	0	0	0
Hepatocytes	0	0	0	0	0	0	0.0019	0.002	0.0017
Keratinocytes	0	0	0	3e-04	1e-04	5e-04	0	0	0
MEP	0.0016	0	0	0.0302	0.028	0.0093	0.0065	0.0053	0.0243
MPP	0	0	0	0.001	2e-04	0	0	0	0
MSC	0	0	0	0.081	0.0836	0.101	0	0	0.0633
Macrophages	0	0	0	0	0	0	0	0	0
Macrophages M1	0	0	0	0	0	0	0	0	0
Macrophages M2	0	0	0	0	0	0	0.0028	0.0032	0.0042
Mast cells	0	0	0	0	0	0	0	0	0
Megakaryocytes	0.0014	0.0011	7e-04	0	0	1e-04	1e-04	0	0
Melanocytes	0	0	0	0	0	0	0	0	0.0018
Memory B-cells	0	0	0	0	0	0	0	0	0
Mesangial cells	0	0	0	0	0	0	0	0	0
Monocytes	0	0	0	0	0	0	0	0	0
Myocytes	0	3e-04	0	0	0	0	0	0	0
NK cells	0	0	0	0	0	0	0	0	0
NKT	0.0088	0.0177	0.0143	0.0047	5e-04	0	0	0	0.0065
Neurons	6e-04	5e-04	2e-04	0	0	1e-04	0	0	1e-04
Neutrophils	0	0	0	0	8e-04	0	0.001	0.0012	0.001
Osteoblast	0	0	0	0	0	0	0	0	0
Pericytes	0	0.0164	0.0021	0	0	0.0074	0	0.0051	0.0041
Plasma cells	0.0042	8e-04	0.0011	0	0	1e-04	0	0	0.0013
Platelets	0	0	0	0	0	0	0	0	0
Preadipocytes	0.0303	0.0912	0.0773	0	0	0	0	0.0088	0
Sebocytes	0	0	0	0	0	1e-04	0	0	0
Skeletal muscle	0	0	0	0	0	0	0	0	0
Smooth muscle	0	0.008	0.0269	0.0625	0.0658	0.0397	0	0	0
Tgd cells	0	0	0	0	0	0	0.0063	0.0087	0
Th1 cells	0	0	0	0.094	0.0776	0.0509	0.0594	0.063	0.0912
Th2 cells	0	0	0	0.2298	0.2441	0.197	0.104	0.0887	0.1506
Tregs	0	0	0	0	0	0	0	0	0
aDC	0	0	0	0	0	0	0	0	0
cDC	0	0	0	1e-04	0	7e-04	0	0	0.005
iDC	0	0	0	0	0	0	0	0.0013	0
ly Endothelial cells	0	0	0	0.0027	0.0028	0.0026	0	0	0
mv Endothelial cells	0	0	0	0	1e-04	0	0	0	0
naive B-cells	0	0	0	0	0	0	0	0	0
pDC	0	0	0	0.0012	0.0017	0.0017	4e-04	8e-04	0.0018
pro B-cells	0	0	0	0.0223	0.0224	0.0149	0.0168	0.0182	0.0199
ImmuneScore	0	0	0	0	0.0023	2e-04	0.0036	0.0029	0.0027
StromaScore	0.4448	0.4418	0.4333	0	0	0	0.0476	0.0481	0.0235
MicroenvironmentScore	0.4448	0.4418	0.4333	0	0.0023	2e-04	0.0512	0.051	0.0262
