	D20_1	D20_2	D20_3	D30_1	D30_2	D30_3	D08_1	D08_2	D08_3	D10_1	D10_2	D10_3	D12_1	D12_2	D12_3
Adipocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astrocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B-cells	0	0	0	0	0	0	0.0081	0.0105	0.0124	0	0.0083	0.0015	0.0032	0.0034	0
Basophils	0.0262	0	0.0052	0.0151	0	0	0	0	0	0.0088	0	4e-04	0.0231	0	0.001
CD4+ T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4+ Tcm	0	0.0031	0	0.004	0.0081	0.0024	0	0	0	0	0	0	0	0	0
CD4+ Tem	0	0.004	0	0	0.0089	0	0	0	0	0	0	0	0	0.0114	0
CD4+ memory T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4+ naive T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8+ T-cells	0	0	0	0	0	0	0.0019	0.0064	6e-04	0	0.0023	0	0	0.002	0
CD8+ Tcm	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0
CD8+ Tem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8+ naive T-cells	0.0058	7e-04	0.0046	0	0	0	0.0028	0.0019	0.0035	0.005	0	0.0033	0.0084	0.0017	0.0039
CLP	0.0056	0.0078	0.0041	0	0.0078	0.0016	0	0	0	0.0021	0	0	0	0.0023	0
CMP	0	0	0	0	0	0	0.005	0.0015	0.0038	5e-04	8e-04	0.0016	0	0	0
Chondrocytes	0.0014	0	0.0077	0.0039	0.0043	0.0067	0	0	0	0	0	0	0	0	0
Class-switched memory B-cells	0.0064	0	0	0.018	0	0	0.0108	7e-04	0.008	0.0066	0.002	0.0066	0.0077	0	4e-04
DC	0	0.0032	0	0	0.0062	0.0013	0	0.0036	0	0	0.0029	0	0	0.0026	0
Endothelial cells	0	0	0	0	0	0	0.0079	0.0073	0.0091	0.0048	0.0069	0.0042	9e-04	0.003	0.0033
Eosinophils	0	0	0	0	9e-04	0	0	7e-04	0	0	0.0015	0	0	0	0
Epithelial cells	0.0053	0.0202	0.0187	7e-04	0.0111	0.0361	4e-04	0	0.0059	0.0048	0	0.01	0.0012	0.0013	0.0115
Erythrocytes	0	0	0	0	0	0	0	1e-04	0	0	0	1e-04	0	0	3e-04
Fibroblasts	0.0237	0.1054	0.0387	0	0.1199	0.071	0.0014	0.0603	0	0.0101	0.1027	0.0189	0	0.1419	0.0407
GMP	0	0	0	0	0	0	0.0013	0	0.0033	0	0	0.0013	0	0	0.004
HSC	0.0524	0.0412	0.066	0.0566	0.0367	0.0509	0.0131	0	0	0.0208	0	0.0098	0.0081	0.0012	0.0375
Hepatocytes	6e-04	5e-04	0.0044	0	0	0.003	1e-04	0	0	0.0022	0	0.002	0.0014	0	0.0018
Keratinocytes	0	0	1e-04	0	0	3e-04	0	0	0	0	0	0	0	0	2e-04
MEP	0.0163	0.0072	0.0081	0.0012	0.0014	0	0.0419	0.0467	0.0492	0.0353	0.0276	0.0364	0.022	0.0139	0.0196
MPP	0	0	0	0	0	0	0	9e-04	0	0	1e-04	0.001	0	0.0012	0
MSC	0.0078	0.023	0	0	0	0.0041	0.0447	0.0453	0.025	0.0488	0.0507	0.0922	0.0093	0.0278	0.0447
Macrophages	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macrophages M1	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0
Macrophages M2	0	0.0053	4e-04	6e-04	0.0041	0.0028	0	1e-04	0	2e-04	0.0017	0	0	0.0014	0
Mast cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	3e-04
Megakaryocytes	0	1e-04	0	0	2e-04	0	0	0	0	1e-04	0	5e-04	0	0.0012	0.0015
Melanocytes	7e-04	0.0035	0	0	0.0063	0.004	5e-04	7e-04	0	0.0012	7e-04	0.001	0.001	0.0017	0.0012
Memory B-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesangial cells	0.0021	0.0147	0.0073	0	0.0156	0.0166	0	0.001	0	0	0.0089	0	0	0.0101	0.0021
Monocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myocytes	0.0152	0.0114	0.0145	0.0029	0.0126	0.0113	0.0082	0.0059	0	0.009	0.0124	0.0035	0.004	0.0195	0.0168
NK cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKT	0	0.0041	0	0	0.0029	0	0.0112	0.0151	0.0318	0.0025	0.0134	0.0143	1e-04	0.0058	0.0048
Neurons	0.0049	3e-04	9e-04	0.0165	0.0015	0.0028	6e-04	0	2e-04	4e-04	3e-04	1e-04	0.0017	0	0
Neutrophils	0	0	4e-04	0	0	0	0	0	0	2e-04	0	2e-04	0	0	4e-04
Osteoblast	0	0	0	0	0	0	0	0.0268	0	0	0.0068	0	0	0.0064	0
Pericytes	0	0.0977	0.0518	0	0.0671	0.0609	0.0212	0.0516	0.0146	0.0166	0.0894	0.0622	0	0.1037	0.0943
Plasma cells	0.0017	0	0	0	0	0	0	0	0	0.0017	0	0	0.0013	9e-04	0
Platelets	0	0	0	0	0	0	0	0.0022	0	0	0.0018	0	0	0.0013	0
Preadipocytes	0.0436	0.0025	0.0075	0.0395	0.0264	0.0127	0.0176	0.0169	0	0.0213	0.026	0	0.0287	0.0285	0
Sebocytes	0	0	1e-04	0	0	0	0	0	2e-04	0	0	2e-04	0	0	1e-04
Skeletal muscle	6e-04	0	0	0	0	7e-04	1e-04	0	0	0	0	0	0.0011	0	6e-04
Smooth muscle	0.1099	0.0966	0.0734	0.0843	0.1009	0.0788	0.0119	0.0294	0	0.0674	0.0093	0	0.0877	0.0942	0.0532
Tgd cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032
Th1 cells	0.0227	0.005	0.0101	0.0028	0	0	0.0262	0.0577	0.0457	0.023	0.0178	0.0346	0.0183	0.007	0.0129
Th2 cells	0.0129	0.0017	0.0061	3e-04	7e-04	0	0.0778	0.0962	0.0844	0.0624	0.0499	0.0415	0.0596	0.0245	0.04
Tregs	0	0	0	0	0.0018	0	0	0	0	0	0.0073	0.0033	0	0.0061	0.0033
aDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cDC	0	3e-04	0	0	4e-04	4e-04	0.0015	0.0056	0.0025	0.0013	0.0042	8e-04	0	0.0024	7e-04
iDC	0.0119	0.0809	0.0048	0.0066	0.1556	0.0515	0	0.1126	2e-04	0	0.0955	0	0	0.0626	0
ly Endothelial cells	0	0	0	0	0	0	1e-04	0	0.0013	2e-04	0	0	0	0	0
mv Endothelial cells	0.0012	0	1e-04	0	0	0	0.0072	0.0041	0.0093	0.0051	0.003	0.0049	0.0019	3e-04	0.0028
naive B-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pro B-cells	0	0	0	0	0	0	0.0088	0.0181	0.0107	0.007	0.01	0.0073	0.0062	0.0034	0.0025
ImmuneScore	0	0.0021	3e-04	0	0.0047	9e-04	0.0067	0.0141	0.0087	1e-04	0.01	0.0011	0.0021	0.006	5e-04
